GEO_ID,GEO_NAME,gini,income,population,population_5y,vote_trump_percent,area_land,density,unemployment,percent_librals
0400000US01,Alabama,0.48052,48148,4877616.4,4876250,0.62,50645.33,96.31,5.41,14
0400000US02,Alaska,0.42684,74557,737820.8,737068,0.528,570640.95,1.29,8.49,17
0400000US04,Arizona,0.46574,56586.4,7045153.8,7050299,0.491,113594.08,62.02,7.32,21
0400000US05,Arkansas,0.47624,45642.4,3000472,2999370,0.624,52035.48,57.66,4.58,15
0400000US06,California,0.48838,71952.2,39400151.2,39283497,0.343,155779.22,252.92,6.22,29
0400000US08,Colorado,0.45656,69558.2,5611714.6,5610349,0.419,103641.89,54.15,3.1,26
0400000US09,Connecticut,0.49684,74825.6,3578694.8,957248,0.392,4842.36,739.04,4.36,27
0400000US10,Delaware,0.45904,64169,960174.6,692683,0.398,1948.54,492.77,4.32,24
0400000US11,District of Columbia,0.52826,82195,691114.8,3575074,0.051,61.05,11320.47,6.08,73
0400000US12,Florida,0.48556,53513.8,20929034.6,20901636,0.512,53624.76,390.29,4.6,22
0400000US13,Georgia,0.48122,56344.4,10418301.6,10403847,0.492,57513.49,181.15,5.37,19
0400000US15,Hawaii,0.44136,77815.2,1424812.2,1717750,0.343,6422.63,221.84,2.83,28
0400000US16,Idaho,0.44594,53777.8,1719257.2,1422094,0.638,82643.12,20.8,3.79,17
0400000US17,Illinois,0.48194,63551.4,12775291.6,12770631,0.406,55518.93,230.11,5.3,27
0400000US18,Indiana,0.45276,54075.2,6668729.6,6665703,0.57,35826.11,186.14,3.89,17
0400000US19,Iowa,0.4412,58239.8,3143103.6,3139508,0.531,55857.13,56.27,3.11,21
0400000US20,Kansas,0.45636,57113.6,2911375.4,2910652,0.561,81758.72,35.61,3.44,18
0400000US21,Kentucky,0.47858,48558.2,4450466,4449052,0.621,39486.34,112.71,5.73,20
0400000US22,Louisiana,0.49496,47199.2,4669099,4664362,0.585,43203.9,108.07,6.21,15
0400000US23,Maine,0.45148,55075.2,1335866,1335492,0.44,30842.92,43.31,3.91,33
0400000US24,Maryland,0.45308,81109.6,6032684.6,6018848,0.322,9707.24,621.46,4.56,28
0400000US25,Massachusetts,0.48326,77797.6,6852134.4,6850553,0.321,7800.06,878.47,4.17,35
0400000US26,Michigan,0.46692,54953.2,9959191.8,9965265,0.478,56538.9,176.15,5.7,23
0400000US27,Minnesota,0.44948,68476.6,5567392.6,5563378,0.453,79626.74,69.92,4.17,25
0400000US28,Mississippi,0.48202,43277,2985567.6,2984418,0.575,46923.27,63.63,6.63,12
0400000US29,Missouri,0.46376,53489.8,6110816.8,6104910,0.568,68741.52,88.9,4.36,20
0400000US30,Montana,0.45922,53080.6,1051409,1050649,0.569,145545.8,7.22,4.14,18
0400000US31,Nebraska,0.44458,58937.6,1917411.6,1914571,0.582,76824.17,24.96,2.94,22
0400000US32,Nevada,0.46262,57507.2,2988698,2972382,0.477,109781.18,27.22,5.06,23
0400000US33,New Hampshire,0.43946,73508.8,1344873.4,1348124,0.454,8952.65,150.22,2.81,30
0400000US34,New Jersey,0.48114,79185.4,8939767.2,8878503,0.413,7354.22,1215.6,4.86,27
0400000US35,New Mexico,0.47998,47597.6,2089290.2,2092454,0.435,121298.15,17.22,6.32,20
0400000US36,New York,0.51406,65721,19677249.8,19572319,0.377,47126.4,417.54,4.91,30
0400000US37,North Carolina,0.47688,52472.4,10266942.6,10264876,0.499,48617.91,211.18,5.11,21
0400000US38,North Dakota,0.45456,62294,758482.6,756717,0.651,69000.8,10.99,2.99,18
0400000US39,Ohio,0.46554,54436.6,11652989.4,11655397,0.533,40860.69,285.19,5.09,22
0400000US40,Oklahoma,0.46862,50833.6,3933162.6,3932870,0.654,68594.92,57.34,4.14,18
0400000US41,Oregon,0.4576,60475.2,4134733.6,4129803,0.404,95988.01,43.08,5.08,28
0400000US42,Pennsylvania,0.47286,59234.4,12800263.2,12791530,0.488,44742.7,286.09,5.25,24
0400000US44,Rhode Island,0.47126,63609.6,1057807.8,1057231,0.386,1033.81,1023.21,4.32,25
0400000US45,South Carolina,0.47474,51168.4,5022895,5020806,0.551,30060.7,167.09,4.95,16
0400000US46,South Dakota,0.44448,55962.4,872096.6,870638,0.618,75811,11.5,3.42,13
0400000US47,Tennessee,0.47856,51121.6,6713332.2,6709356,0.607,41234.9,162.81,4.88,17
0400000US48,Texas,0.47958,59217.4,28266806.4,28260856,0.521,261231.71,108.21,4.37,20
0400000US49,Utah,0.42554,68888.2,3103206.4,624313,0.581,82169.62,37.77,4.1,15
0400000US50,Vermont,0.4492,59192.6,624916.2,3096848,0.307,9216.66,67.8,3.22,32
0400000US51,Virginia,0.47008,70988.8,8463605,8454463,0.44,39490.09,214.32,4.09,24
0400000US53,Washington,0.45728,70994.8,7402915.6,7404107,0.388,66455.52,111.4,6.05,31
0400000US54,West Virginia,0.46728,44364,1817813.2,1817305,0.686,24038.21,75.62,6.44,17
0400000US55,Wisconsin,0.44498,59339,5796306.2,5790716,0.488,54157.8,107.03,3.93,24
0400000US56,Wyoming,0.4392,61423.4,581483.8,581024,0.699,97093.14,5.99,4.18,18